"skill","average_salary"
"visio","119250.000000000000"
"confluence","119250.000000000000"
"jira","119250.000000000000"
"azure","118140.000000000000"
"power bi","118140.000000000000"
"powerpoint","104550.000000000000"
"flow","96603.750000000000"
"sheets","93600.000000000000"
"word","89578.500000000000"
"sql","85397.277777777778"
